[2025-09-03 09:01:04] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:07] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:07] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:09] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:09] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:14] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:01:14] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:14] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:15] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:15] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:15] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:15] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:21] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:21] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:25] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:01:26] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:31] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:35] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:01:35] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:35] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:40] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:01:45] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
